name;department
El Encanto;Amazonas
La Chorrera;Amazonas
La Pedrera;Amazonas
La Victoria (Pacoa);Amazonas
Leticia;Amazonas
Mirití-paraná (Campoamor);Amazonas
Puerto Alegría;Amazonas
Puerto Arica;Amazonas
Puerto Nariño;Amazonas
Santander (Araracuara);Amazonas
Tarapacá;Amazonas
Abejorral;Antioquia
Abriaquí;Antioquia
Alejandría;Antioquia
Amagá;Antioquia
Amalfi;Antioquia
Andes;Antioquia
Angelópolis;Antioquia
Angostura;Antioquia
Anorí;Antioquia
Anzá;Antioquia
Apartadó;Antioquia
Arboletes;Antioquia
Argelia;Antioquia
Armenia;Antioquia
Barbosa;Antioquia
Bello;Antioquia
Belmira;Antioquia
Betania;Antioquia
Betulia;Antioquia
Briceño;Antioquia
Buriticá;Antioquia
Cáceres;Antioquia
Caicedo;Antioquia
Caldas;Antioquia
Campamento;Antioquia
Cañasgordas;Antioquia
Caracolí;Antioquia
Caramanta;Antioquia
Carepa;Antioquia
Carmen De Viboral;Antioquia
Carolina;Antioquia
Caucasia;Antioquia
Chigorodó;Antioquia
Cisneros;Antioquia
Ciudad Bolívar;Antioquia
Cocorná;Antioquia
Concepción;Antioquia
Concordia;Antioquia
Copacabana;Antioquia
Dabeiba;Antioquia
Don Matías;Antioquia
Ebéjico;Antioquia
El Bagre;Antioquia
Entrerrios;Antioquia
Envigado;Antioquia
Fredonia;Antioquia
Frontino;Antioquia
Giraldo;Antioquia
Girardota;Antioquia
Gómez Plata;Antioquia
Granada;Antioquia
Guadalupe;Antioquia
Guarne;Antioquia
Guatapé;Antioquia
Heliconia;Antioquia
Hispania;Antioquia
Itagüí;Antioquia
Ituango;Antioquia
Jardín;Antioquia
Jericó;Antioquia
La Ceja;Antioquia
La Estrella;Antioquia
La Pintada;Antioquia
La Unión;Antioquia
Liborina;Antioquia
Maceo;Antioquia
Marinilla;Antioquia
Medellín;Antioquia
Montebello;Antioquia
Murindó;Antioquia
Mutatá;Antioquia
Nariño;Antioquia
Nechí;Antioquia
Necoclí;Antioquia
Olaya;Antioquia
Peñol;Antioquia
Peque;Antioquia
Pueblorrico;Antioquia
