municipality;Cordillera Oriental;Piedemonte Amazónico - Macizo;Transición Pacífico - Caribe;Transición Orinoquía;Cordillera Central;Pacífico - Marino Costero;Caribe;Orinoquía;Corazón Amazonía
Potosí;False;False;False;False;False;False;False;False;False
Puerto Caicedo;False;True;False;False;False;False;False;False;False
Córdoba;False;False;False;False;True;False;False;False;False
Puerres;False;True;False;False;False;False;False;False;False
Orito;False;True;False;False;False;False;False;False;False
Contadero;False;False;False;False;False;False;False;False;False
Carmen De Apicalá;False;False;False;False;False;False;False;False;False
Espinal;False;False;False;False;False;False;False;False;False
Guamo;False;False;False;False;False;False;False;False;False
Suárez;False;False;False;False;False;False;False;False;False
Icononzo;False;False;False;False;False;False;False;False;False
Melgar;False;False;False;False;False;False;False;False;False
Valle De San Juan;False;False;False;False;False;False;False;False;False
Roncesvalles;False;False;False;False;True;False;False;False;False
Villavicencio;False;False;False;True;False;False;False;False;False
Arbeláez;False;False;False;True;False;False;False;False;False
Flandes;False;False;False;False;False;False;False;False;False
Gutiérrez;False;False;False;True;False;False;False;False;False
Trujillo;False;False;False;False;True;False;False;False;False
Génova;False;False;False;False;True;False;False;False;False
Bugalagrande;False;False;False;False;True;False;False;False;False
San Luis;False;False;False;False;False;False;False;False;False
Rovira;False;False;False;False;True;False;False;False;False
Guayabetal;False;False;False;True;False;False;False;False;False
Fosca;False;False;False;True;False;False;False;False;False
Nilo;False;False;False;False;False;False;False;False;False
Cumaral;False;False;False;True;False;False;False;False;False
Pijao;False;False;False;False;True;False;False;False;False
Ricaurte;False;False;False;False;False;False;False;False;False
Tibacuy;False;False;False;False;False;False;False;False;False
Pasca;False;False;False;True;False;False;False;False;False
Buenavista;False;False;False;False;False;False;False;False;False
Quetame;False;False;False;True;False;False;False;False;False
Sevilla;False;False;False;False;True;False;False;False;False
Caicedonia;False;False;False;False;False;False;False;False;False
Agua De Dios;False;False;False;False;False;False;False;False;False
Fusagasugá;False;False;False;True;False;False;False;False;False
Une;False;False;False;True;False;False;False;False;False
Girardot;False;False;False;False;False;False;False;False;False
El Calvario;False;False;False;True;False;False;False;False;False
Papunaua(Cor. Departamental);False;False;False;False;False;False;False;False;False
Guadalupe;False;False;False;False;False;False;False;False;False
Bolívar;False;True;False;False;False;False;False;False;False
Magüí (Payán);False;False;False;False;False;True;False;False;False
